thumbnail,title,category,view_count,likes_count,dislikes_count,upload_date,video_length,subscribe_count
0,1,beauty,752576,13000,161,4,7,574000
2,1,beauty,391663,11000,105,3,7,532000
0,0,beauty,942968,44000,276,4,7,559000
0,2,beauty,150472,5500,58,2,7,515000
0,2,beauty,3330691,12000,1700,2,7,515000
1,2,beauty,323495,4600,61,6,7,374000
0,2,beauty,1112872,47000,435,2,7,515000
1,0,beauty,22800,1400,14,4,7,759000
1,0,beauty,129425,3200,60,5,7,763000
0,3,beauty,165442,2100,110,4,7,759000
0,1,beauty,118334,2500,26,4,7,273000
2,1,beauty,226712,8700,55,4,7,574000
3,3,beauty,279528,4800,80,6,7,374000
0,0,beauty,1442096,100000,894,4,7,559000
0,2,beauty,1356461,49000,240,3,7,460000
0,3,beauty,91712,2400,54,4,8,759000
0,0,beauty,988916,33000,382,4,8,574000
0,2,beauty,109259,7800,58,4,8,559000
0,2,beauty,1474679,38000,380,3,8,532000
0,3,beauty,111871,2100,71,4,8,759000
4,2,beauty,126296,1100,58,6,8,720000
0,2,beauty,1635718,82000,384,3,8,460000
0,2,beauty,159131,6900,80,4,8,780000
0,2,beauty,971594,21000,234,4,8,561000
0,2,beauty,811700,60000,654,4,8,559000
0,2,beauty,162835,6700,64,4,8,780000
4,0,beauty,310045,8000,107,4,8,574000
0,3,beauty,78845,1300,56,4,9,759000
1,0,beauty,565229,5900,170,4,9,273000
0,2,beauty,86380,6200,35,4,9,559000
1,0,beauty,457179,6300,115,6,9,374000
0,2,beauty,465617,16000,194,2,9,515000
1,0,beauty,1512499,1100,626,6,9,374000
0,2,beauty,226637,7800,59,3,9,532000
0,3,beauty,39629,962,16,5,9,763000
0,2,beauty,161629,1600,69,6,9,720000
1,0,beauty,341734,3600,78,6,9,374000
0,2,beauty,1818857,49000,354,6,9,720000
0,0,beauty,132625,2200,80,4,9,759000
0,2,beauty,921027,37000,170,3,9,460000
3,0,beauty,1960,280,2,3,9,671000
0,0,beauty,1507265,21000,484,6,9,720000
3,3,beauty,515515,7800,159,4,9,759000
0,0,beauty,1426287,41000,544,4,9,559000
4,2,beauty,147060,2800,26,4,9,780000
4,2,beauty,188352,4500,45,4,10,561000
0,2,beauty,529223,19000,124,4,10,780000
0,2,beauty,459376,58000,168,4,10,780000
2,0,beauty,294065,3200,127,6,10,374000
0,2,beauty,45634,994,12,5,10,791000
0,0,beauty,1768576,4800,1900,6,10,888000
1,2,beauty,221942,2300,121,6,10,374000
4,3,beauty,119399,2500,23,5,10,791000
0,2,beauty,152586,3900,42,5,10,763000
3,3,beauty,1162524,31000,526,6,10,720000
0,2,beauty,730408,13000,166,3,10,460000
0,2,beauty,1227607,22000,310,6,10,720000
0,2,beauty,1503695,20000,364,4,10,561000
0,2,beauty,2886774,24000,1400,5,10,763000
4,0,beauty,153246,2400,56,4,11,273000
1,0,beauty,335166,4700,73,6,11,374000
1,0,beauty,121067,3300,38,6,11,888000
2,3,beauty,85396,2200,39,4,11,759000
2,1,beauty,254226,5800,83,6,11,888000
3,3,beauty,234186,7600,85,4,11,759000
0,2,beauty,2766067,83000,100,2,11,515000
1,0,beauty,370299,4700,103,6,11,888000
0,2,beauty,77279,1600,33,3,11,532000
5,2,beauty,352873,9400,81,3,11,671000
4,0,beauty,674449,7100,260,6,11,888000
2,1,beauty,1404580,3900,241,3,11,460000
0,0,beauty,28967,817,19,4,11,759000
2,1,beauty,118622,1900,53,6,11,720000
4,4,beauty,115277,5100,23,5,11,791000
1,0,beauty,79787,2300,37,4,11,559000
0,3,beauty,79405,1900,39,4,11,759000
0,2,beauty,734018,23000,183,2,11,515000
0,3,beauty,53847,1300,38,4,11,759000
3,2,beauty,103217,4000,25,3,11,671000
0,2,beauty,109863,2800,37,3,11,532000
4,0,beauty,257173,2800,73,6,12,374000
0,2,beauty,114973,4900,36,4,12,559000
0,2,beauty,681329,11000,174,3,12,532000
4,0,beauty,923722,22000,270,4,12,574000
4,3,beauty,353127,5600,95,6,12,888000
0,2,beauty,82395,5100,16,3,12,460000
5,0,beauty,384390,4600,140,6,12,720000
0,0,beauty,141898,2200,45,6,12,888000
0,2,beauty,1392986,45000,656,2,12,515000
2,3,beauty,116788,2900,51,5,12,791000
0,2,beauty,95416,3000,25,4,12,559000
0,3,beauty,372510,4200,112,6,12,374000
4,1,beauty,97082,1800,24,6,12,374000
0,2,beauty,438478,16000,224,4,12,559000
2,1,beauty,214084,4800,85,6,12,888000
1,0,beauty,927772,9000,314,4,13,273000
0,2,beauty,90202,4300,14,3,13,460000
2,3,beauty,410636,3800,123,6,13,374000
0,0,beauty,631877,8900,260,4,13,273000
1,0,beauty,339449,5500,96,4,13,273000
0,2,beauty,198810,10000,70,4,13,559000
4,2,beauty,133752,3300,34,3,13,532000
4,1,beauty,176908,2200,102,6,13,720000
1,0,beauty,208181,2400,70,6,13,720000
4,0,beauty,177249,1300,100,6,13,720000
3,3,beauty,180196,3300,41,5,13,763000
0,0,beauty,68481,1800,25,3,13,532000
0,3,beauty,263568,11000,114,6,13,374000
0,3,beauty,349023,5400,112,6,13,888000
0,0,beauty,1489364,6100,595,6,13,888000
0,2,beauty,465799,46000,162,4,13,780000
0,2,beauty,287220,22000,86,3,13,460000
3,2,beauty,343367,9400,100,3,13,671000
4,2,beauty,84909,1600,32,5,13,763000
0,2,beauty,2086652,30000,718,5,13,763000
4,2,beauty,134681,2300,38,5,14,763000
2,3,beauty,925116,19000,246,4,14,780000
1,0,beauty,228012,2700,78,6,14,888000
4,0,beauty,238625,3000,64,6,14,374000
0,2,beauty,3908806,59000,1200,4,14,561000
4,3,beauty,125855,3500,66,4,14,759000
0,2,beauty,177264,2100,67,6,14,720000
1,0,beauty,242897,4500,57,5,14,763000
4,0,beauty,789162,6600,638,6,14,374000
3,3,beauty,202949,3200,60,5,14,791000
4,1,beauty,579780,6100,393,6,14,888000
0,2,beauty,180688,3900,50,4,14,574000
0,2,beauty,190548,3200,65,4,14,273000
0,2,beauty,3335767,71000,1000,5,14,763000
1,0,beauty,595180,6100,130,6,14,374000
0,2,beauty,180351,3400,104,5,14,763000
2,3,beauty,1295596,35000,528,6,14,374000
1,2,beauty,366697,4900,78,6,14,374000
5,2,beauty,218241,5000,71,5,14,763000
3,1,beauty,206102,5300,74,6,14,888000
2,1,beauty,406720,5300,148,6,15,888000
1,0,beauty,325064,4200,102,6,15,374000
2,3,beauty,1265925,40000,382,6,15,888000
1,0,beauty,289964,3300,154,6,15,374000
1,0,beauty,253813,3000,71,5,15,763000
2,0,beauty,311655,8200,74,6,15,374000
1,3,beauty,473830,11000,106,6,15,888000
0,0,beauty,138580,1300,89,6,15,720000
0,0,beauty,227495,3500,84,6,15,888000
0,0,beauty,867705,8800,269,4,15,273000
2,1,beauty,280915,6300,77,3,15,532000
2,3,beauty,1759042,24000,1400,6,15,720000
4,1,beauty,2790153,61000,1000,6,15,374000
4,1,beauty,81345,2300,25,4,15,559000
3,2,beauty,247380,3800,87,5,15,791000
0,2,beauty,146546,3100,56,5,15,763000
1,1,beauty,110985,3700,41,4,15,559000
4,0,beauty,279124,4300,72,6,15,888000
4,0,beauty,50236,941,31,5,15,763000
1,0,beauty,307730,5300,87,6,15,888000
0,2,beauty,202304,800,66,4,15,559000
4,0,beauty,127969,2600,47,5,15,763000
0,2,beauty,3222,441,12,5,15,763000
2,1,beauty,74039,1400,25,5,15,763000
0,1,beauty,86145,1900,33,3,15,532000
4,0,beauty,1652287,9000,1600,6,16,374000
2,1,beauty,83467,1300,65,4,16,273000
0,0,beauty,136714,1800,49,4,16,561000
0,0,beauty,195339,3300,67,6,16,720000
0,0,beauty,80094,1600,27,5,16,763000
4,2,beauty,342516,4100,91,4,16,273000
1,1,beauty,208111,3000,99,6,16,888000
5,2,beauty,313681,9800,73,3,16,671000
0,2,beauty,115210,2500,56,5,16,763000
4,0,beauty,391047,4300,145,6,16,374000
0,2,beauty,235707,4700,106,6,16,888000
1,0,beauty,298500,4800,60,6,16,888000
0,2,beauty,4989286,50000,400,4,16,574000
1,0,beauty,200852,3500,48,6,16,888000
4,0,beauty,527086,12000,282,4,16,759000
3,3,beauty,493679,9500,170,5,16,791000
0,0,beauty,182157,3800,55,4,16,559000
1,2,beauty,261241,13000,79,4,16,559000
0,0,beauty,54046,1500,21,5,16,791000
2,1,beauty,150141,3300,53,4,16,574000
4,1,beauty,217414,2100,80,6,16,720000
2,1,beauty,244117,6700,73,4,16,574000
4,3,beauty,107492,1800,36,5,16,791000
4,0,beauty,68803,1200,48,5,16,763000
4,0,beauty,203472,1500,75,6,16,720000
1,2,beauty,606841,8700,148,6,16,888000
4,1,beauty,236747,3900,90,5,16,791000
0,0,beauty,53769,2400,15,2,16,515000
0,0,beauty,183758,2300,98,4,16,759000
0,1,beauty,144246,4600,30,3,16,532000
2,0,beauty,26427,1200,3,5,16,791000
1,0,beauty,498131,4900,115,6,17,374000
1,0,beauty,426836,5700,99,6,17,888000
4,2,beauty,76918,1700,32,4,17,759000
1,0,beauty,40733,953,20,4,17,759000
4,0,beauty,569286,6600,131,6,17,888000
0,2,beauty,112306,2200,45,5,17,763000
4,3,beauty,59332,1100,29,3,17,460000
0,0,beauty,36187,1200,15,4,17,559000
4,2,beauty,50794,1000,22,5,17,763000
4,0,beauty,305819,5000,69,6,17,888000
1,0,beauty,126372,2100,29,5,17,763000
0,0,beauty,551368,5700,166,4,17,273000
0,2,beauty,266944,8100,104,4,17,574000
4,0,beauty,702393,9800,203,6,17,888000
1,0,beauty,179324,1900,45,6,17,720000
1,0,beauty,386452,5500,96,6,17,720000
0,2,beauty,210831,4000,87,6,17,888000
0,2,beauty,102878,2200,51,4,17,574000
0,0,beauty,247060,3100,54,4,17,561000
2,0,beauty,300372,4600,80,5,18,763000
0,0,beauty,378010,6300,76,4,18,273000
4,1,beauty,178573,1600,106,6,18,720000
1,0,beauty,22340,499,7,5,18,791000
4,0,beauty,242301,3500,68,6,18,888000
0,2,beauty,149749,3500,75,5,18,763000
0,2,beauty,217929,3200,97,6,18,888000
1,0,beauty,240700,1400,36,6,18,720000
1,0,beauty,194554,4700,54,5,18,763000
0,2,beauty,90864,1500,44,5,18,763000
